"编号","故事名","关联景观","文本形态","体裁","来源或出处","来源URL","备注"
"1","安楞严乘虎、系石虎溪桥","虎溪桥、伏虎寺","A","","《康熙·仙岩寺志》卷一","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y",""
"2","遇安圆寂三日复活","圣寿禅寺","A","","《钦定古今图书集成·山川典》卷一三一","https://zh.wikisource.org/zh-hans/欽定古今圖書集成/方輿彙編/山川典/第131卷",""
"3","破句悟道（""此是我悟处""）","圣寿禅寺、白云庵","A","","《景德传灯录》","https://dlbs.liberal.ntu.edu.tw/FULLTEXT/sutra/chi_pdf/sutra20/T51n2076.pdf",""
"4","三仙姑听法入潭","三姑潭","A+C","","《康熙·仙岩寺志》卷一；温州市文旅局导游词","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y；https://sty.wenzhou.gov.cn/art/2024/5/29/art_1500201_42659108.html",""
"5","轩辕黄帝乘龙遗须","龙须潭","A+C","","《康熙·仙岩寺志》卷一；温州市文旅局导游词","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y；https://sty.wenzhou.gov.cn/art/2024/5/29/art_1500201_42659108.html",""
"6","仙人飞升","升仙岩","A","","《康熙·仙岩寺志》卷一","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y",""
"7","轩辕炼丹、羽化登仙（山民拜别长文本）","升仙岩、炼丹井、通玄洞","C","","新浪网","https://k.sina.cn/article_5968646248/163c250680200148oe.html",""
"8","铁皮树枯而复荣（天目瑞应）","慧光塔西","A","","《康熙·仙岩寺志》卷一","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y",""
"9","湖石塔苔藓不生","湖石塔","A","","《康熙·仙岩寺志》卷一","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y","潘耒《金石文字记补遗》纠其三误：大中十四年应作咸通元年；距康熙仅八百二十五年非千四百年；实为经幢非塔"
"10","慧光塔神光佳兆","慧光塔","A","","《康熙·仙岩寺志》卷一","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3hvpi23y","卷一""宋延祐五年""应作元延祐五年（1318），据卷十释廷俊记核正"
"11","地下钟鼓声（陈七宅舍寺）","仙岩寺","B","","王叔果《游仙岩记》（雍正《浙江通志》卷二六二）","https://www.shidianguji.com/book/SK1007/chapter/1l90lbki12xpu","另有明嘉靖《仙岩寺记》""富民陈氏""方志版异文及寺志卷十""止斋闻钟鼓""异文并入本条"
"12","银汉飞灯之异","仙岩","B","","王叔果《游仙岩记》（雍正《浙江通志》卷二六二）","https://www.shidianguji.com/book/SK1007/chapter/1l90lbki12xpu",""
"13","张果老驻洞（""通玄先生""）","通玄洞","C","","景区介绍","https://m.meet99.com/jingdian-xianyanfengjingqu-54999.html",""
"14","龙王三太子听法留脊","龙脊","C","","考试百科","https://www.kaoshibaike.com/224683426.html",""
"15","龙脊23/24块石计数与爱情支线","龙脊","C","","网易；第一范文网","https://www.163.com/dy/article/I5IKPAT90544AW5X.html；https://www.diyifanwen.com/zuowen/xiaoxuezuowen/xxsnj/2969353.html",""
"16","懒龙祈雨（方言呼告全文）","卧龙潭","C","","搜狐；温州网文化频道","https://www.sohu.com/a/214691167_753422；https://culture.66wz.com/system/2022/08/25/105496854.shtml",""
"17","莘塍""直落""祈雨仪式版","卧龙潭","C","","温州网文化频道","https://culture.66wz.com/system/2022/08/25/105496854.shtml",""
"18","郝守正祈雨纪事（摩崖原文）","求雨壁","A（摩崖）","","温州新闻网","https://news.66wz.com/system/2022/08/25/105496803.shtml",""
"19","李集避乱（刘冲/罗隐秀才）","罗隐洞","B+C","","今日头条","https://www.toutiao.com/article/7366841619410895386/","罗隐隐居说已证伪，三说并立：唐宗室李集避乱改名刘冲、罗隐流落、罗洪先隐居"
"20","罗状元出家、劝世诗八首","罗隐洞","C","","今日头条","https://www.toutiao.com/article/7366841619410895386/","罗隐得山名之说属后世附会；瓯海卷篇目""罗隐秀的传说""并入本条"
"21","罗洪先隐居剃度（状元坟）","罗隐洞、化成洞","C+实物","","新浪网","https://k.sina.cn/article_5968646248/163c250680200162by.html",""
